# Constructed from biom file
#OTU ID	Full_1	Full_10	Full_11	Full_12	Full_13	Full_14	Full_15	Full_16	Full_17	Full_18	Full_19	Full_2	Full_20	Full_21	Full_22	Full_23	Full_24	Full_25	Full_26	Full_27	Full_28	Full_29	Full_3	Full_30	Full_31	Full_32	Full_33	Full_34	Full_35	Full_36	Full_37	Full_38	Full_39	Full_4	Full_40	Full_41	Full_42	Full_43	Full_44	Full_45	Full_46	Full_47	Full_48	Full_49	Full_5	Full_50	Full_51	Full_52	Full_53	Full_54	Full_55	Full_56	Full_57	Full_58	Full_59	Full_6	Full_60	Full_61	Full_62	Full_63	Full_64	Full_65	Full_66	Full_67	Full_68	Full_69	Full_7	Full_70	Full_71	Full_72	Full_73	Full_74	Full_75	Full_76	Full_77	Full_78	Full_79	Full_8	Full_80	Full_81	Full_82	Full_83	Full_84	Full_85	Full_86	Full_87	Full_88	Full_89	Full_9	Full_90	Full_91	Full_92	Full_93	Full_94	Full_95	Full_96	taxonomy
KX212259.1.1200	189.0	482.0	1513.0	229.0	66.0	0.0	0.0	237.0	267.0	559.0	56.0	1819.0	1224.0	62.0	347.0	70.0	602.0	5.0	64.0	299.0	327.0	111.0	306.0	113.0	433.0	263.0	35.0	0.0	0.0	268.0	226.0	512.0	0.0	425.0	607.0	3880.0	1615.0	1763.0	4501.0	1080.0	889.0	1407.0	1636.0	3397.0	8.0	51.0	181.0	3188.0	5260.0	652.0	1658.0	2440.0	2823.0	3671.0	400.0	292.0	320.0	6038.0	390.0	654.0	67.0	2149.0	5059.0	3580.0	18.0	3255.0	347.0	801.0	723.0	2513.0	489.0	4177.0	722.0	216.0	0.0	330.0	1244.0	1215.0	115.0	836.0	3784.0	5517.0	3270.0	3101.0	3007.0	531.0	3839.0	3549.0	309.0	2785.0	1619.0	842.0	6105.0	1757.0	3152.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Enterobacter; D_6__Enterobacter cloacae
EU777710.1.1395	121.0	92.0	1240.0	0.0	25.0	125.0	0.0	119.0	34.0	119.0	36.0	1006.0	0.0	53.0	205.0	16.0	0.0	0.0	46.0	65.0	89.0	32.0	78.0	16.0	592.0	62.0	11.0	87.0	0.0	122.0	42.0	96.0	0.0	0.0	0.0	1886.0	658.0	358.0	1535.0	274.0	184.0	204.0	410.0	1675.0	0.0	8.0	0.0	799.0	814.0	157.0	109.0	594.0	804.0	1052.0	65.0	101.0	114.0	2457.0	74.0	150.0	41.0	199.0	90.0	1113.0	0.0	700.0	55.0	0.0	155.0	897.0	199.0	1544.0	132.0	102.0	1221.0	172.0	1578.0	179.0	1384.0	1196.0	690.0	2644.0	1059.0	1316.0	432.0	807.0	674.0	921.0	57.0	991.0	268.0	312.0	1781.0	898.0	941.0	113.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Pseudomonadales; D_4__Pseudomonadaceae; D_5__Pseudomonas; D_6__uncultured bacterium
KX880950.1.1206	0.0	28.0	582.0	25.0	14.0	0.0	0.0	0.0	0.0	59.0	36.0	499.0	0.0	49.0	255.0	0.0	107.0	0.0	0.0	44.0	30.0	27.0	34.0	21.0	313.0	66.0	0.0	0.0	0.0	43.0	47.0	52.0	0.0	46.0	0.0	2443.0	223.0	350.0	1431.0	248.0	187.0	125.0	234.0	1498.0	0.0	0.0	36.0	735.0	1093.0	125.0	36.0	568.0	591.0	913.0	34.0	0.0	62.0	2135.0	41.0	107.0	0.0	201.0	148.0	1220.0	0.0	585.0	0.0	0.0	75.0	481.0	156.0	1199.0	91.0	36.0	0.0	56.0	522.0	106.0	0.0	444.0	443.0	2146.0	638.0	857.0	274.0	103.0	565.0	870.0	0.0	827.0	0.0	280.0	1486.0	711.0	777.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Escherichia-Shigella; D_6__Escherichia sp.
EF071253.1.1234	268.0	2525.0	9.0	333.0	0.0	0.0	1322.0	327.0	0.0	195.0	0.0	7.0	334.0	292.0	17.0	42.0	3.0	815.0	27.0	928.0	270.0	2239.0	60.0	3038.0	15.0	670.0	0.0	77.0	1372.0	572.0	0.0	282.0	0.0	8.0	248.0	0.0	0.0	54.0	24.0	5.0	79.0	1421.0	275.0	145.0	597.0	0.0	172.0	36.0	0.0	559.0	32.0	0.0	0.0	11.0	0.0	181.0	0.0	4.0	929.0	0.0	0.0	272.0	89.0	284.0	0.0	1520.0	951.0	19.0	1009.0	671.0	0.0	163.0	779.0	850.0	0.0	0.0	0.0	310.0	0.0	5.0	0.0	4.0	18.0	0.0	0.0	0.0	0.0	0.0	2127.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Ruminococcaceae; D_5__Faecalibacterium; D_6__uncultured Firmicutes bacterium
JF712661.1.1208	0.0	0.0	732.0	50.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	691.0	0.0	0.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	426.0	0.0	0.0	66.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	1600.0	546.0	316.0	1363.0	220.0	156.0	132.0	344.0	1664.0	0.0	0.0	80.0	880.0	883.0	136.0	97.0	612.0	703.0	1087.0	0.0	0.0	85.0	1536.0	0.0	113.0	0.0	138.0	56.0	740.0	0.0	473.0	0.0	0.0	76.0	685.0	79.0	581.0	0.0	0.0	446.0	0.0	554.0	126.0	528.0	412.0	234.0	1443.0	881.0	1060.0	295.0	660.0	519.0	708.0	0.0	723.0	215.0	271.0	1415.0	718.0	526.0	105.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Escherichia-Shigella; D_6__uncultured bacterium
DQ818717.1.1485	49.0	130.0	306.0	100.0	37.0	0.0	0.0	74.0	88.0	192.0	0.0	419.0	406.0	52.0	53.0	0.0	140.0	0.0	0.0	109.0	125.0	0.0	72.0	0.0	87.0	87.0	55.0	0.0	0.0	44.0	80.0	240.0	0.0	90.0	256.0	0.0	540.0	604.0	1145.0	159.0	396.0	386.0	462.0	14.0	0.0	0.0	0.0	1186.0	690.0	293.0	495.0	694.0	825.0	1058.0	142.0	106.0	127.0	1097.0	155.0	123.0	46.0	455.0	55.0	788.0	0.0	899.0	131.0	0.0	224.0	704.0	124.0	820.0	261.0	106.0	0.0	88.0	312.0	349.0	33.0	157.0	409.0	1054.0	935.0	753.0	174.0	0.0	540.0	674.0	93.0	663.0	682.0	361.0	1218.0	337.0	719.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Escherichia-Shigella; D_6__uncultured bacterium
HQ591433.1.1202	0.0	0.0	993.0	0.0	22.0	986.0	0.0	217.0	14.0	151.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	0.0	0.0	0.0	731.0	0.0	22.0	1031.0	11.0	222.0	0.0	211.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	532.0	0.0	25.0	279.0	0.0	0.0	0.0	0.0	73.0	0.0	150.0	53.0	745.0	24.0	0.0	0.0	0.0	0.0	0.0	116.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	22.0	0.0	0.0	0.0	88.0	4212.0	334.0	3136.0	128.0	3522.0	1918.0	0.0	0.0	0.0	1471.0	979.0	5925.0	65.0	196.0	0.0	104.0	3140.0	172.0	500.0	441.0	696.0	1900.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Klebsiella; D_6__Klebsiella sp. SOR89
LN558620.1.1207	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	7.0	0.0	0.0	9.0	0.0	0.0	7.0	23.0	4962.0	0.0	0.0	0.0	0.0	0.0	0.0	6574.0	6.0	0.0	5.0	8.0	224.0	1702.0	0.0	0.0	0.0	44.0	0.0	6.0	3392.0	3128.0	0.0	0.0	42.0	0.0	13.0	0.0	5.0	0.0	0.0	1488.0	0.0	0.0	11.0	0.0	0.0	6.0	0.0	6.0	3693.0	0.0	0.0	0.0	166.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.0	4288.0	567.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Proteus; D_6__Proteus mirabilis
KX159720.1.1200	0.0	0.0	320.0	0.0	0.0	240.0	3.0	86.0	28.0	100.0	0.0	91.0	0.0	0.0	0.0	0.0	2577.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	70.0	0.0	42.0	374.0	0.0	113.0	24.0	187.0	0.0	1740.0	0.0	0.0	29.0	111.0	148.0	475.0	1311.0	0.0	25.0	0.0	0.0	60.0	0.0	83.0	2521.0	20.0	111.0	84.0	286.0	91.0	105.0	0.0	0.0	151.0	0.0	253.0	0.0	0.0	2160.0	200.0	23.0	0.0	0.0	394.0	86.0	886.0	80.0	288.0	0.0	40.0	1284.0	1461.0	854.0	82.0	1139.0	497.0	0.0	0.0	109.0	518.0	2261.0	1561.0	94.0	650.0	0.0	44.0	892.0	95.0	146.0	111.0	276.0	1544.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Enterobacter; D_6__Klebsiella oxytoca
GQ492382.1.1289	31.0	674.0	0.0	166.0	973.0	125.0	85.0	291.0	223.0	290.0	18.0	0.0	0.0	33.0	0.0	98.0	0.0	0.0	97.0	683.0	30.0	580.0	91.0	716.0	25.0	143.0	841.0	251.0	111.0	166.0	345.0	172.0	6.0	0.0	0.0	34.0	0.0	80.0	88.0	0.0	0.0	436.0	29.0	663.0	0.0	0.0	195.0	136.0	0.0	0.0	0.0	1579.0	0.0	0.0	55.0	201.0	0.0	91.0	424.0	185.0	0.0	527.0	0.0	111.0	18.0	720.0	581.0	1738.0	1464.0	117.0	0.0	614.0	544.0	0.0	3185.0	1130.0	0.0	0.0	0.0	0.0	124.0	76.0	0.0	0.0	88.0	0.0	0.0	45.0	541.0	220.0	53.0	77.0	319.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Bacteroidaceae; D_5__Bacteroides; D_6__uncultured bacterium
