# Constructed from biom file
#OTU ID	V3V4_1	V3V4_10	V3V4_11	V3V4_12	V3V4_13	V3V4_14	V3V4_15	V3V4_16	V3V4_17	V3V4_18	V3V4_19	V3V4_2	V3V4_20	V3V4_21	V3V4_22	V3V4_23	V3V4_24	V3V4_25	V3V4_26	V3V4_27	V3V4_28	V3V4_29	V3V4_3	V3V4_30	V3V4_31	V3V4_32	V3V4_33	V3V4_34	V3V4_35	V3V4_36	V3V4_37	V3V4_38	V3V4_39	V3V4_4	V3V4_40	V3V4_41	V3V4_42	V3V4_43	V3V4_44	V3V4_45	V3V4_46	V3V4_47	V3V4_48	V3V4_49	V3V4_5	V3V4_50	V3V4_51	V3V4_52	V3V4_53	V3V4_54	V3V4_55	V3V4_56	V3V4_57	V3V4_58	V3V4_59	V3V4_6	V3V4_60	V3V4_61	V3V4_62	V3V4_63	V3V4_64	V3V4_65	V3V4_66	V3V4_67	V3V4_68	V3V4_69	V3V4_7	V3V4_70	V3V4_71	V3V4_72	V3V4_73	V3V4_74	V3V4_75	V3V4_76	V3V4_77	V3V4_78	V3V4_79	V3V4_8	V3V4_80	V3V4_81	V3V4_82	V3V4_83	V3V4_84	V3V4_85	V3V4_86	V3V4_87	V3V4_88	V3V4_89	V3V4_9	V3V4_90	V3V4_91	V3V4_92	V3V4_93	V3V4_94	V3V4_95	V3V4_96	taxonomy
KX880950.1.1206	0.0	24.0	517.0	21.0	12.0	0.0	0.0	31.0	0.0	55.0	27.0	441.0	0.0	41.0	223.0	0.0	97.0	0.0	0.0	36.0	27.0	22.0	28.0	17.0	277.0	60.0	0.0	0.0	0.0	34.0	29.0	45.0	0.0	44.0	0.0	2187.0	187.0	304.0	1229.0	217.0	163.0	113.0	207.0	1378.0	0.0	0.0	25.0	648.0	984.0	107.0	32.0	502.0	519.0	806.0	30.0	0.0	57.0	1927.0	31.0	92.0	0.0	182.0	130.0	1153.0	0.0	509.0	0.0	0.0	66.0	404.0	141.0	1059.0	81.0	33.0	0.0	49.0	452.0	97.0	29.0	364.0	390.0	1881.0	531.0	797.0	235.0	86.0	517.0	790.0	0.0	744.0	0.0	240.0	1297.0	612.0	684.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Escherichia-Shigella; D_6__Escherichia sp.
KT873246.1.1201	28.0	43.0	170.0	0.0	15.0	0.0	0.0	26.0	0.0	54.0	0.0	354.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	35.0	57.0	17.0	17.0	18.0	31.0	22.0	10.0	0.0	0.0	23.0	19.0	38.0	0.0	0.0	0.0	792.0	344.0	191.0	826.0	230.0	0.0	101.0	245.0	795.0	0.0	0.0	29.0	566.0	678.0	113.0	27.0	343.0	468.0	672.0	22.0	26.0	47.0	894.0	23.0	74.0	0.0	113.0	83.0	612.0	0.0	376.0	0.0	0.0	70.0	459.0	87.0	632.0	48.0	29.0	0.0	32.0	304.0	80.0	25.0	294.0	288.0	846.0	621.0	462.0	173.0	42.0	261.0	408.0	0.0	454.0	0.0	166.0	994.0	431.0	525.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Escherichia-Shigella; D_6__Escherichia coli
HQ807131.1.1274	0.0	1295.0	0.0	176.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	160.0	38.0	1054.0	0.0	1301.0	0.0	129.0	0.0	49.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.0	23.0	123.0	0.0	911.0	31.0	22.0	0.0	0.0	312.0	0.0	0.0	0.0	107.0	921.0	0.0	153.0	26.0	108.0	0.0	53.0	273.0	104.0	0.0	535.0	33.0	0.0	0.0	158.0	237.0	1328.0	837.0	149.0	0.0	291.0	207.0	134.0	1555.0	110.0	0.0	0.0	79.0	0.0	58.0	42.0	0.0	0.0	75.0	0.0	0.0	0.0	923.0	155.0	0.0	49.0	315.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Bacteroidaceae; D_5__Bacteroides; D_6__uncultured organism
HQ777852.1.1440	0.0	835.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	69.0	118.0	32.0	1264.0	0.0	1351.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	46.0	0.0	58.0	0.0	53.0	0.0	556.0	0.0	17.0	0.0	0.0	374.0	0.0	0.0	0.0	62.0	1396.0	0.0	94.0	18.0	57.0	0.0	0.0	184.0	54.0	0.0	386.0	0.0	0.0	0.0	170.0	72.0	1246.0	559.0	45.0	0.0	42.0	208.0	38.0	2574.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	15.0	0.0	0.0	691.0	163.0	0.0	0.0	120.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Bacteroidaceae; D_5__Bacteroides; D_6__uncultured organism
AY979335.1.1358	0.0	0.0	0.0	0.0	806.0	113.0	531.0	0.0	871.0	76.0	0.0	0.0	492.0	59.0	0.0	0.0	0.0	300.0	0.0	389.0	581.0	0.0	0.0	0.0	0.0	0.0	729.0	160.0	355.0	0.0	735.0	47.0	0.0	0.0	370.0	69.0	0.0	0.0	57.0	0.0	0.0	162.0	325.0	55.0	109.0	590.0	0.0	69.0	0.0	95.0	410.0	0.0	0.0	495.0	331.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.0	617.0	266.0	148.0	0.0	78.0	33.0	432.0	31.0	101.0	66.0	0.0	66.0	0.0	281.0	0.0	0.0	0.0	11.0	0.0	0.0	124.0	0.0	37.0	332.0	0.0	0.0	38.0	164.0	249.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Bacteroidaceae; D_5__Bacteroides; D_6__uncultured bacterium
FJ363488.1.1201	126.0	458.0	0.0	76.0	0.0	0.0	397.0	212.0	0.0	382.0	18.0	0.0	363.0	216.0	14.0	44.0	0.0	363.0	0.0	234.0	88.0	1259.0	0.0	1262.0	0.0	211.0	0.0	0.0	392.0	477.0	0.0	460.0	0.0	0.0	510.0	0.0	0.0	0.0	0.0	0.0	117.0	414.0	67.0	82.0	161.0	0.0	0.0	35.0	0.0	145.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	6.0	301.0	0.0	0.0	48.0	62.0	330.0	0.0	559.0	159.0	0.0	300.0	195.0	0.0	102.0	58.0	478.0	0.0	9.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	529.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Ruminococcaceae; D_5__Faecalibacterium; D_6__uncultured bacterium
KU881628.1.1200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	2856.0	0.0	0.0	0.0	0.0	0.0	0.0	3230.0	0.0	0.0	0.0	0.0	83.0	570.0	0.0	0.0	0.0	0.0	0.0	0.0	1522.0	2019.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	881.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2792.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	2628.0	208.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Proteus; D_6__Proteus mirabilis
HQ591433.1.1202	0.0	0.0	401.0	0.0	0.0	244.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	340.0	0.0	12.0	230.0	0.0	32.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0	0.0	0.0	91.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	172.0	14.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	940.0	66.0	1025.0	0.0	1140.0	718.0	0.0	0.0	0.0	430.0	448.0	2028.0	58.0	63.0	0.0	35.0	249.0	52.0	138.0	173.0	185.0	492.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Klebsiella; D_6__Klebsiella sp. SOR89
HQ739676.1.1212	60.0	0.0	0.0	0.0	131.0	34.0	40.0	298.0	62.0	251.0	0.0	0.0	333.0	95.0	0.0	0.0	0.0	24.0	0.0	143.0	820.0	0.0	0.0	0.0	0.0	0.0	143.0	94.0	47.0	35.0	92.0	149.0	0.0	0.0	301.0	14.0	0.0	125.0	176.0	0.0	105.0	428.0	295.0	155.0	42.0	171.0	0.0	91.0	0.0	98.0	50.0	0.0	0.0	29.0	227.0	0.0	0.0	290.0	0.0	0.0	0.0	0.0	74.0	282.0	37.0	616.0	300.0	25.0	289.0	460.0	223.0	54.0	230.0	28.0	0.0	72.0	0.0	677.0	313.0	0.0	0.0	19.0	0.0	0.0	267.0	0.0	38.0	74.0	0.0	22.0	67.0	45.0	0.0	0.0	201.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Bacteroidaceae; D_5__Bacteroides; D_6__uncultured bacterium
HQ759687.1.1240	0.0	0.0	0.0	710.0	0.0	0.0	51.0	80.0	0.0	45.0	0.0	0.0	61.0	45.0	0.0	43.0	10.0	131.0	283.0	33.0	291.0	0.0	21.0	0.0	0.0	801.0	0.0	0.0	58.0	17.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	162.0	0.0	0.0	89.0	151.0	0.0	60.0	38.0	33.0	0.0	0.0	0.0	58.0	84.0	0.0	0.0	110.0	375.0	644.0	0.0	0.0	440.0	0.0	0.0	940.0	0.0	156.0	0.0	361.0	86.0	233.0	89.0	119.0	0.0	0.0	349.0	0.0	0.0	375.0	52.0	122.0	25.0	0.0	521.0	0.0	0.0	52.0	0.0	0.0	0.0	150.0	0.0	27.0	40.0	0.0	107.0	0.0	200.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Bacteroidaceae; D_5__Bacteroides; D_6__uncultured organism
