# Constructed from biom file
#OTU ID	V4_1	V4_10	V4_11	V4_12	V4_13	V4_14	V4_15	V4_16	V4_17	V4_18	V4_19	V4_2	V4_20	V4_21	V4_22	V4_23	V4_24	V4_25	V4_26	V4_27	V4_28	V4_29	V4_3	V4_30	V4_31	V4_32	V4_33	V4_34	V4_35	V4_36	V4_37	V4_38	V4_39	V4_4	V4_40	V4_41	V4_42	V4_43	V4_44	V4_45	V4_46	V4_47	V4_48	V4_49	V4_5	V4_50	V4_51	V4_52	V4_53	V4_54	V4_55	V4_56	V4_57	V4_58	V4_59	V4_6	V4_60	V4_61	V4_62	V4_63	V4_64	V4_65	V4_66	V4_67	V4_68	V4_69	V4_7	V4_70	V4_71	V4_72	V4_73	V4_74	V4_75	V4_76	V4_77	V4_78	V4_79	V4_8	V4_80	V4_81	V4_82	V4_83	V4_84	V4_85	V4_86	V4_87	V4_88	V4_89	V4_9	V4_90	V4_91	V4_92	V4_93	V4_94	V4_95	V4_96	taxonomy
KT873246.1.1201	28.0	43.0	170.0	0.0	15.0	0.0	0.0	26.0	0.0	54.0	0.0	353.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	35.0	57.0	17.0	17.0	0.0	31.0	22.0	10.0	0.0	0.0	23.0	19.0	38.0	0.0	0.0	0.0	792.0	344.0	191.0	825.0	230.0	0.0	101.0	245.0	793.0	0.0	0.0	29.0	569.0	678.0	113.0	27.0	343.0	468.0	675.0	22.0	27.0	47.0	894.0	23.0	74.0	0.0	113.0	83.0	612.0	0.0	376.0	0.0	0.0	70.0	460.0	87.0	633.0	48.0	29.0	0.0	32.0	304.0	79.0	25.0	287.0	288.0	846.0	621.0	460.0	174.0	42.0	262.0	408.0	0.0	456.0	0.0	166.0	993.0	425.0	525.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Escherichia-Shigella; D_6__Escherichia coli
HQ807131.1.1274	0.0	1296.0	0.0	176.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	160.0	38.0	1057.0	0.0	1304.0	0.0	129.0	0.0	49.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.0	23.0	123.0	0.0	912.0	31.0	22.0	0.0	0.0	321.0	0.0	0.0	0.0	106.0	921.0	0.0	153.0	26.0	108.0	0.0	53.0	270.0	104.0	0.0	536.0	33.0	0.0	0.0	158.0	237.0	1328.0	837.0	149.0	0.0	290.0	207.0	134.0	1557.0	109.0	0.0	0.0	79.0	0.0	58.0	42.0	0.0	0.0	75.0	0.0	0.0	0.0	923.0	155.0	0.0	49.0	315.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Bacteroidaceae; D_5__Bacteroides; D_6__uncultured organism
HQ739676.1.1212	60.0	0.0	0.0	0.0	131.0	34.0	40.0	298.0	62.0	251.0	0.0	0.0	333.0	95.0	0.0	0.0	0.0	24.0	0.0	143.0	820.0	0.0	0.0	0.0	0.0	0.0	143.0	94.0	47.0	35.0	92.0	149.0	0.0	0.0	301.0	14.0	0.0	125.0	176.0	0.0	105.0	427.0	295.0	155.0	42.0	171.0	0.0	91.0	0.0	98.0	50.0	0.0	0.0	29.0	227.0	0.0	0.0	290.0	0.0	0.0	0.0	0.0	74.0	282.0	37.0	615.0	300.0	25.0	289.0	461.0	222.0	53.0	230.0	28.0	0.0	72.0	0.0	677.0	313.0	0.0	0.0	23.0	0.0	0.0	267.0	0.0	40.0	74.0	0.0	22.0	67.0	45.0	0.0	0.0	201.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Bacteroidaceae; D_5__Bacteroides; D_6__uncultured bacterium
HQ759687.1.1240	0.0	0.0	0.0	710.0	0.0	0.0	51.0	80.0	0.0	45.0	0.0	0.0	61.0	45.0	0.0	43.0	10.0	130.0	283.0	33.0	289.0	0.0	21.0	0.0	0.0	800.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	162.0	0.0	0.0	70.0	151.0	0.0	60.0	38.0	33.0	0.0	0.0	0.0	58.0	84.0	0.0	0.0	110.0	375.0	644.0	0.0	0.0	444.0	0.0	0.0	940.0	0.0	156.0	0.0	362.0	86.0	233.0	89.0	119.0	0.0	0.0	348.0	0.0	0.0	375.0	52.0	122.0	25.0	0.0	520.0	0.0	0.0	52.0	0.0	0.0	0.0	150.0	0.0	27.0	40.0	0.0	107.0	0.0	199.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Bacteroidaceae; D_5__Bacteroides; D_6__uncultured organism
HE866524.1.1200	0.0	0.0	83.0	0.0	0.0	90.0	0.0	0.0	0.0	30.0	0.0	0.0	146.0	0.0	0.0	0.0	485.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	122.0	0.0	40.0	0.0	0.0	0.0	328.0	56.0	0.0	0.0	0.0	0.0	136.0	465.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	194.0	0.0	113.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	67.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	142.0	0.0	0.0	0.0	0.0	425.0	59.0	405.0	0.0	578.0	443.0	562.0	0.0	0.0	251.0	227.0	356.0	749.0	0.0	0.0	29.0	823.0	48.0	82.0	121.0	71.0	490.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Klebsiella; D_6__Klebsiella pneumoniae
KU881628.1.1200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1207.0	0.0	0.0	0.0	0.0	0.0	0.0	1145.0	0.0	0.0	0.0	0.0	47.0	274.0	0.0	0.0	0.0	0.0	0.0	0.0	561.0	724.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	346.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1129.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	1129.0	99.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Proteus; D_6__Proteus mirabilis
AF499899.1.1248	0.0	0.0	0.0	105.0	33.0	97.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	65.0	26.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	209.0	15.0	0.0	59.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	41.0	18.0	0.0	35.0	28.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	119.0	0.0	42.0	215.0	0.0	0.0	211.0	50.0	0.0	482.0	84.0	30.0	772.0	0.0	95.0	0.0	0.0	175.0	66.0	0.0	277.0	256.0	0.0	0.0	0.0	364.0	0.0	744.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Tannerellaceae; D_5__Parabacteroides; D_6__uncultured bacterium
FJ366406.1.1235	0.0	0.0	0.0	0.0	615.0	0.0	203.0	0.0	694.0	0.0	0.0	0.0	133.0	11.0	0.0	0.0	0.0	59.0	0.0	0.0	370.0	0.0	0.0	0.0	0.0	0.0	722.0	0.0	140.0	0.0	465.0	0.0	0.0	0.0	101.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	254.0	0.0	32.0	49.0	0.0	0.0	0.0	32.0	155.0	0.0	0.0	240.0	165.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	280.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Bacteroidaceae; D_5__Bacteroides; D_6__uncultured bacterium
JN797483.1.1220	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	39.0	0.0	12.0	0.0	0.0	1065.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	1495.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	581.0	69.0	0.0	246.0	0.0	0.0	217.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Citrobacter; D_6__Citrobacter freundii
AY850490.1.1239	0.0	0.0	0.0	0.0	58.0	30.0	44.0	0.0	112.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	0.0	132.0	35.0	0.0	7.0	0.0	0.0	0.0	106.0	98.0	65.0	0.0	89.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	142.0	0.0	62.0	208.0	0.0	38.0	0.0	45.0	207.0	0.0	0.0	180.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0	449.0	229.0	201.0	0.0	67.0	30.0	0.0	32.0	68.0	46.0	0.0	41.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	119.0	0.0	23.0	90.0	0.0	0.0	0.0	81.0	238.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Bacteroidaceae; D_5__Bacteroides; D_6__uncultured bacterium
